"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"05/25/2022","1508","1511.5","1388.75","1422.5","-4.1119","-3.8908","4,375,324"
"05/24/2022","1472","1555.75","1461.375","1483.5","6.325","6.5461","5,539,212"
"05/23/2022","1452.5","1489.75","1390","1395.25","-4.9719","-4.7508","4,436,192"
"05/20/2022","1400.875","1596.5","1391","1468.25","0.8067","1.0278","6,868,708"
"05/19/2022","1460.25","1485","1383.5","1456.5","1.8353","2.0564","6,404,000"
"05/18/2022","1305","1448","1296","1430.25","14.5345","14.7556","5,215,416"
"05/17/2022","1271.75","1324.75","1243.25","1248.75","-7.5856","-7.3645","4,784,056"
"05/16/2022","1331.25","1370","1304.25","1351.25","3.0702","3.2913","4,404,012"
"05/13/2022","1402.75","1427.75","1292.0025","1311","-10.7556","-10.5345","5,057,648"
"05/12/2022","1527.75","1565.25","1402.25","1469","0.5648","0.7859","7,027,452"
"05/11/2022","1373","1472.875","1297.75","1460.75","8.9096","9.1307","6,981,532"
"05/10/2022","1289","1400.5025","1272.025","1341.25","-3.5245","-3.3034","7,557,852"
"05/09/2022","1316.75","1409.75","1286.25","1390.25","11.6442","11.8654","6,604,632"
"05/06/2022","1227.5","1294.75","1179.25","1245.25","3.879","4.1001","8,025,804"
"05/05/2022","1088.25","1235.25","1087","1198.75","14.7404","14.9615","7,009,468"
"05/04/2022","1158.25","1217.75","1038.125","1044.75","-10.187","-9.9659","6,580,312"
"05/03/2022","1167.5","1194.75","1138","1163.25","-0.2358","-0.0147","4,766,172"
"05/02/2022","1234","1271.6725","1165","1166","-4.8746","-4.6535","6,428,780"
"04/29/2022","1126","1235.25","1090.5025","1225.75","13.1027","13.3238","5,015,468"
"04/28/2022","1153","1202.75","1061.125","1083.75","-10.5448","-10.3237","5,723,740"
